id,prompt_variant,ground_truth,predicted,confidence,loan_doc_pred,raw_response
1,fewshot,LoanDoc,LoanDoc,92,TS1.pdf,"{""class"":""LoanDoc"",""confidence"":92,""loan_doc_id"":""TS1.pdf""}"
2,fewshot,LoanDoc,LoanDoc,90,TS1.pdf,"{""class"":""LoanDoc"",""confidence"":90,""loan_doc_id"":""TS1.pdf""}"
3,fewshot,LoanDoc,LoanDoc,92,APP1.pdf,"{""class"":""LoanDoc"",""confidence"":92,""loan_doc_id"":""APP1.pdf""}"
4,fewshot,LoanDoc,LoanDoc,90,APP1.pdf,"{""class"":""LoanDoc"",""confidence"":90,""loan_doc_id"":""APP1.pdf""}"
5,fewshot,LoanDoc,PublicWeb,85,,"{""class"":""PublicWeb"",""confidence"":85,""loan_doc_id"":""""}"
6,fewshot,LoanDoc,PublicWeb,88,,"{""class"":""PublicWeb"",""confidence"":88,""loan_doc_id"":""""}"
7,fewshot,LoanDoc,Synthesised,80,,"{""class"":""Synthesised"",""confidence"":80,""loan_doc_id"":""""}"
8,fewshot,LoanDoc,LoanDoc,90,TS1.pdf,"{""class"":""LoanDoc"",""confidence"":90,""loan_doc_id"":""TS1.pdf""}"
9,fewshot,PublicWeb,PublicWeb,88,,"{""class"":""PublicWeb"",""confidence"":88,""loan_doc_id"":""""}"
10,fewshot,PublicWeb,PublicWeb,88,,"{""class"":""PublicWeb"",""confidence"":88,""loan_doc_id"":""""}"
11,fewshot,PublicWeb,Synthesised,80,,"{""class"":""Synthesised"",""confidence"":80,""loan_doc_id"":""""}"
12,fewshot,PublicWeb,PublicWeb,88,,"{""class"":""PublicWeb"",""confidence"":88,""loan_doc_id"":""""}"
13,fewshot,PublicWeb,PublicWeb,85,,"{""class"":""PublicWeb"",""confidence"":85,""loan_doc_id"":""""}"
14,fewshot,PublicWeb,PublicWeb,88,,"{""class"":""PublicWeb"",""confidence"":88,""loan_doc_id"":""""}"
15,fewshot,Synthesised,Synthesised,80,,"{""class"":""Synthesised"",""confidence"":80,""loan_doc_id"":""""}"
16,fewshot,Synthesised,Synthesised,85,,"{""class"":""Synthesised"",""confidence"":85,""loan_doc_id"":""""}"
17,fewshot,Synthesised,Synthesised,75,,"{""class"":""Synthesised"",""confidence"":75,""loan_doc_id"":""""}"
18,fewshot,Synthesised,Synthesised,85,,"{""class"":""Synthesised"",""confidence"":85,""loan_doc_id"":""""}"
19,fewshot,Synthesised,Synthesised,85,,"{""class"":""Synthesised"",""confidence"":85,""loan_doc_id"":""""}"
20,fewshot,Synthesised,LoanDoc,85,APP1.pdf,"{""class"":""LoanDoc"",""confidence"":85,""loan_doc_id"":""APP1.pdf""}"
